name	date	distance	class	diameter	velocity
2007 AG	1900.083333	3.8	ATE	312.9531674	8.69
4660 Nereus	1900.083333	8.1	APO	786.1028149	5.55
2009 BW2	1900.166667	6.6	APO	32.77021958	4.33
2007 ED125	1900.25	7.4	APO	206.7661072	14.29
326290 Akhenaten	1900.416667	4	ATE	149.7888034	12.63
2010 MA	1900.5	9.9	ATE	24.8587537	10.51
2007 HE15	1900.583333	4	APO	393.9846951	10.28
2011 EL11	1900.583333	6.2	APO	376.2524629	20.11
2005 VS	1900.916667	7.7	APO	124.5889	7.66
2005 CJ	1901.166667	5.3	APO	312.9531674	12.04
2008 RG1	1901.25	9.2	APO	248.587537	15.27
2000 HB24	1901.333333	7.4	ATE	75.07223601	10.98
387746 2003 MH4	1901.5	5.5	APO	343.1463245	9.14
2011 OB	1901.583333	4.9	ATE	473.6737868	20.13
2006 BE55	1901.75	9.7	APO	143.0471967	13.27
2008 RW24	1901.75	4.5	APO	90.25667938	10.56
306383 1993 VD	1901.833333	9.3	ATE	164.240157	16.31
2006 UZ215	1901.833333	4.3	ATE	27.25708142	9.2
2009 WN8	1901.916667	9.4	ATE	31.29531674	12.19
2001 FC58	1902.25	5.3	APO	285.4166809	10.75
2007 VD12	1902.416667	6.3	APO	343.1463245	15.89
2003 HP32	1902.5	8.5	APO	412.5526218	22.17
2008 HB38	1902.75	6.3	APO	197.4600995	9.54
1991 GO	1902.833333	7.9	APO	359.3183125	18.22
2006 WV1	1902.916667	5.6	ATE	22.67145283	7.06
2010 WZ8	1903.083333	3.5	APO	248.587537	7.23
208023 1999 AQ10	1903.166667	4.3	ATE	285.4166809	7.67
2010 KV39	1903.416667	4.7	ATE	14.97888034	10.1
2001 CQ36	1903.416667	5.9	ATE	108.5123956	5.29
2009 BW2	1903.666667	6.9	APO	32.77021958	4.62
2012 QG42	1903.75	8.5	APO	226.7145283	10.9
2004 UR	1903.916667	7.3	APO	82.31506992	8.21
2007 WM3	1903.916667	9.7	ATE	82.31506992	11.87
27002 1998 DV9	1904.166667	5.9	APO	786.1028149	7.59
276033 2002 AJ129	1904.166667	8	APO	624.4236613	35.31
